userName,review,rating,date,bank
Dani Man,Is it necessary to switch off developer options every time to use mobile banking?🤔🤔😡😡😡,1,2024-08-04 13:53:44,BOA
kedre Abdela,The previous version is better it doesn't work,1,2024-08-04 09:16:27,BOA
Net3 MP,"I don't know what is wrong with BOA as a bank in general. It's been going backwards since last year or so. The app is a disaster to use in every possible way. Not stable to log in and very slow to perform transactions, couldn't take a screenshot (or can't even find the pictures even using its save screenshot option). Most of the time, it fails to perform transactions and so on. Simply, it's the worst!",1,2024-08-03 23:59:13,BOA
surafel girma,ok,5,2024-08-03 22:37:02,BOA
Fuad Yaya,Nice,5,2024-08-03 11:16:43,BOA
ናትና AEL,"Take some note from CBE mobile banking app, it's the best banking app currently take some note and improve ur app . Sometimes u have to learn from the bests 🙌",1,2024-08-03 11:00:33,BOA
GASHAW SISAY,Great,5,2024-08-03 10:20:06,BOA
lulseged mam,It's a useless app,1,2024-08-02 09:54:12,BOA
Temesgen Alemayehu,"It's not working as it was , so much need to improve, it was the best but not anymore",2,2024-08-01 19:04:25,BOA
Esmael Seman,Poor network,1,2024-08-01 08:48:09,BOA
habtemariam biset,Not yet completely working this App. i don't know when is it will be working properly! Its Sad!!!,1,2024-07-31 23:20:53,BOA
Nahom,The app does not open sometimes it says coonection issue which i dont have and after it opens it has bugs while using its not smooth to work with please improve it,1,2024-07-31 15:03:12,BOA
Sabr Ali,"It's not working totally, what a useless app is it,",1,2024-07-31 13:54:39,BOA
Yidnekachew Kedir,"This app has become the most troubling every day. It doesn't work. I love the bank, and I hate the app",1,2024-07-31 09:01:07,BOA
SEMIR Ibrahim,this is so disappointing app 😞,1,2024-07-31 00:37:56,BOA
Zeyba Zikra,አቢስኒያ የሁሉም ምርጫ,5,2024-07-29 17:48:26,BOA
Nanesso Gemechu,Ok,5,2024-07-29 10:47:11,BOA
Selhadin Jafer,Nays,5,2024-07-28 20:19:24,BOA
Kalkidan mehari,The worst app,1,2024-07-28 18:35:54,BOA
Oumer Kassaw,it can't even open and only display error messages,1,2024-07-27 21:01:32,BOA
Kamil Hassen,not active,1,2024-07-27 15:39:42,BOA
Mesay Sahil,To get good quality,5,2024-07-27 09:22:10,BOA
Abrham Temesgen,አይሰራም እኮ ምንድን ነው ችግሩ?,1,2024-07-26 11:36:44,BOA
Belete Arega,uselss app dont download,1,2024-07-26 11:36:14,BOA
Johnny Solomon,"Is this app fake i try it not working it say please try again later, unable to make transactions what is the purpose of this app . If it is not working delete it",1,2024-07-25 23:24:26,BOA
Seifu Mekonnen,"This app didn't work. They have a new version (new app) but still not compatible with my Samsung S8+ , which is v.funny.",1,2024-07-25 12:35:54,BOA
Abebe Ebistie,Corrupted and poor app,1,2024-07-24 18:58:27,BOA
Bizunesh Bedada,Good,1,2024-07-24 11:51:19,BOA
Lulawit Abreham Tsegaye,When I try to use the application it says 'developer setting should be off' where is the setting to off this play Still doesn't work for me,3,2024-07-24 10:27:07,BOA
Shiferaw Teka,Nice,5,2024-07-24 09:54:06,BOA
tewodros fekadu,FIX YOUR Apollo!! You guys where the best 👌,1,2024-07-23 23:29:08,BOA
Selamawit Belete,Always slow and doesn't work on weekends if you are in a rush or a merchant this app is not for you,1,2024-07-23 18:53:32,BOA
mulualem chekol,"It's very difficult to use the user, app,ones dawenload the user can't operate well , no one can help me,",1,2024-07-23 18:36:47,BOA
alnur aliyo,Poor application. It turned off by itself,1,2024-07-23 16:06:20,BOA
Mikiale dres,Okay,5,2024-07-23 15:54:10,BOA
BILATU TENKIR,Allowed,5,2024-07-23 15:41:00,BOA
Semeab Seyoum,It usually crashes and the reason it gives is a problem on internet connection although the internet was fine.,1,2024-07-23 10:35:15,BOA
Mwaniki feny,we want international mobile banking,1,2024-07-22 23:31:31,BOA
Aymen Seid,"screenshot isn't working, Please modify it",2,2024-07-22 17:38:15,BOA
Nazret Measho,Naziriet measho 89160437,1,2024-07-22 00:45:21,BOA
Ahmed Mohamed husen,Ahmed Mohammed husen,3,2024-07-21 19:33:55,BOA
Srgut,Is not working both this one and apollo did u make it better pls am gonne stop using this bank because of the mobile banking,1,2024-07-19 22:15:38,BOA
Brave Man,I have experiance,5,2024-07-19 22:12:05,BOA
Nebil Ahmed,The App is not working on Android 9.1 at all. It shows an error notification and forcefully closes the app. Must be fixed ASAP.,1,2024-07-19 18:36:11,BOA
Zemen Kebede,Wow,5,2024-07-19 16:21:51,BOA
negus _,Crashes very frequently is not stable overall need improvement such a huge bank needs a better app than the current one,1,2024-07-19 09:35:32,BOA
ተመሥገን ምትኩ,ርይርፍ,3,2024-07-19 08:11:01,BOA
eyob mikire,The previous application is much better than this one,1,2024-07-18 17:40:55,BOA
Hailemichael Melaku,"Worst app. It is wise to invest money and you can make it like CBE app. Even the incon has no image. My app has better UI than yours. So, please invest more and hire professional developer companies and improve it.",1,2024-07-18 11:45:25,BOA
Maxamud Roble,mal,5,2024-07-16 23:55:56,BOA
Mariyam Amalaje,It is not working at all,1,2024-07-16 20:29:37,BOA
bekri Emam,Excellent,5,2024-07-16 19:57:45,BOA
Israel Tsegaye,The poorest mobile banking survice ever. Only error reports frequently,1,2024-07-16 16:37:32,BOA
Ephrem Hagos,Wow,5,2024-07-16 13:01:39,BOA
